ShortCode	Type	Title	Author	Journal	Organization	Publisher	Address	Year	Volume	Number	URL	Date Accessed													
slatepanoply	article	"Slate Group Announces Panoply, a Podcasting Network for Media Brands and Authors"		Slate				25 February 2015			http://www.slate.com/articles/briefing/slate_fare/2015/02/panoply_slate_group_announces_new_podcast_network.html	10 October 2015													
hotpodbrowns	online	"Patronage, Screenshorting Audio, and the Cleveland Browns"	Nicholas Quah		Nieman Journalism Lab			8 September 2015			http://www.niemanlab.org/2015/09/hot-pod-patronage-screenshorting-audio-and-the-cleveland-browns/	10 October 2015													
techtarget	online	Podcasting Terms: Glossary			WhatIs.com						http://whatis.techtarget.com/reference/Podcasting-Terms-Glossary	11 October 2015													
JobsVideo	video	Steve Jobs Announces Switch to Intel and Podcasting			YouTube			21 December 2013			https://www.youtube.com/watch?v=K0KNLCbzZUw	10 October 2015													
iramary	article	How to Listen to a Podcast With Ira and Mary		This American Life				3 October 2013			https://www.youtube.com/watch?v=8IPV2oSz8m4	10 October 2015													
wnycstudios	article	WNYC to Open New Podcast Division	Ben Sisario	The New York Times				12 October 2015			http://www.nytimes.com/2015/10/13/business/media/wnyc-to-open-new-podcast-division.html?smid=tw-share	13 October 2015													
vqlore	online	The Curious Success of Lore: A Case Study	Vanessa Quirk		Tow Center for Digital Journalism			7 October 2015			http://towcenter.org/case-study-lore	20 November 2015													
recodegplay	online	"Google Brings Podcasting to Play Music, Swinging at Apple's Dominance"	Mark Bergen		re/code			27 October 2015			http://recode.net/2015/10/27/google-brings-podcasting-to-play-music-swinging-at-apples-dominance/	2 December 2015													
varietyPandora	article	Pandora Is Acquiring Music Streaming Service Rdio For $75 Million (Exclusive)	"
Janko Roettgers"	Variety				16 November 2015			http://variety.com/2015/digital/news/pandora-rdio-acquisition-1201641583/	2 December 2015													
niemanMessage	online	"How did the GE-branded podcast The Message hit No. 1 on iTunes? In part, by sounding nothing like an ad"	Laura Hazard Owen		Nieman Journalism Lab			30 November 2015			http://www.niemanlab.org/2015/11/how-did-the-ge-branded-podcast-the-message-hit-no-1-on-itunes-in-part-by-sounding-nothing-like-an-ad/	2 December 2015													
gimletPodcast	online	#17 Words About Words From Our Sponsors	StartUp		Gimlet Media			19 November 2015			https://gimletmedia.com/episode/17-words-about-words-from-our-sponsors/	2 December 2015													
ftSlateBranded	article	Brands tune into podcast production	Shannon Bond	Financial Times				23 November 2015			http://www.ft.com/cms/s/0/d153ee44-8fd6-11e5-8be4-3506bf20cc2b.html#ixzz3tASSyhK9	2 December 2015													
PRXblog	online	"The Coin, the Quilt and the Superfan: Radiotopia Fundraising Lessons"	Maggie Taylor		PRX			24 November 2015			http://blog.prx.org/2015/11/the-coin-the-quilt-and-the-superfan-radiotopia-fundraising-lessons/	2 December 2015													
niemanPRX	online	How PRX and Radiotopia are rethinking the public radio pledge drive for the podcast era	Joseph Lichterman		Nieman Journalism Lab			27 October 2015			http://www.niemanlab.org/2015/10/how-prx-and-radiotopia-are-rethinking-the-public-radio-pledge-drive-for-the-podcast-era/	2 December 2015													
